Ticker,Last Close Price,Current Price,Signal,Method,Upper_Band,Middle_Band,Lower_Band
A,151.08999633789062,151.08999633789062,HOLD (Price within Bollinger Bands),bollinger,151.3543437685608,146.3740005493164,141.39365733007202
AAPL,274.2650146484375,274.2650146484375,HOLD (Price within Bollinger Bands),bollinger,278.92995720542115,267.1597106933594,255.38946418129765
ABBV,238.2899932861328,238.2899932861328,HOLD (Price within Bollinger Bands),bollinger,238.86526531811623,225.15549926757814,211.44573321704004
ABNB,121.9800033569336,121.9800033569336,HOLD (Price within Bollinger Bands),bollinger,131.0691823473224,125.02099990844727,118.97281746957215
ABT,128.86000061035156,128.86000061035156,HOLD (Price within Bollinger Bands),bollinger,129.96944710587854,126.46499938964844,122.96055167341834
ACGL,92.80000305175781,92.80000305175781,SELL (Price above Upper Bollinger Band),bollinger,91.99896870709465,87.82550048828125,83.65203226946785
ACN,246.21749877929688,246.21749877929688,HOLD (Price within Bollinger Bands),bollinger,254.30127667491254,246.7508743286133,239.20047198231404
ADBE,337.3900146484375,337.3900146484375,HOLD (Price within Bollinger Bands),bollinger,362.94709614688696,341.51099853515626,320.07490092342556
ADI,237.72000122070312,237.72000122070312,HOLD (Price within Bollinger Bands),bollinger,248.04303589911498,237.3234992980957,226.6039626970764
ADM,58.79999923706055,58.79999923706055,HOLD (Price within Bollinger Bands),bollinger,64.96164327616916,60.07099990844726,55.18035654072538
ADP,254.15499877929688,254.15499877929688,HOLD (Price within Bollinger Bands),bollinger,292.5112882577738,266.91875076293945,241.32621326810514
ADSK,298.9549865722656,298.9549865722656,HOLD (Price within Bollinger Bands),bollinger,315.0833368037235,303.78124542236327,292.479154041003
AEE,104.6050033569336,104.6050033569336,HOLD (Price within Bollinger Bands),bollinger,106.8755926877585,103.82625007629395,100.77690746482939
AEP,122.7249984741211,122.7249984741211,HOLD (Price within Bollinger Bands),bollinger,124.38755530908509,118.73744735717773,113.08733940527037
AES,13.835000038146973,13.835000038146973,HOLD (Price within Bollinger Bands),bollinger,14.585253795074676,14.086565494537354,13.587877194000031
AFL,114.41999816894531,114.41999816894531,HOLD (Price within Bollinger Bands),bollinger,115.9398041151145,109.62049942016601,103.30119472521753
AIG,78.27999877929688,78.27999877929688,HOLD (Price within Bollinger Bands),bollinger,80.41117019670313,78.07999992370605,75.74882965070898
AIZ,228.10000610351562,228.10000610351562,HOLD (Price within Bollinger Bands),bollinger,229.12590695072205,215.37050018310546,201.61509341548887
AJG,256.43499755859375,256.43499755859375,HOLD (Price within Bollinger Bands),bollinger,291.79282527772915,263.06875076293943,234.34467624814968
AKAM,90.23999786376953,90.23999786376953,HOLD (Price within Bollinger Bands),bollinger,90.7775089086752,77.75900001525879,64.74049112184238
ALB,117.63999938964844,117.63999938964844,SELL (Price above Upper Bollinger Band),bollinger,112.34810469848334,98.10599975585937,83.8638948132354
ALGN,141.0050048828125,141.0050048828125,HOLD (Price within Bollinger Bands),bollinger,143.19503533139,136.53974990844728,129.88446448550457
ALL,210.2050018310547,210.2050018310547,SELL (Price above Upper Bollinger Band),bollinger,209.3662774329759,196.77574996948243,184.18522250598897
ALLE,166.86500549316406,166.86500549316406,HOLD (Price within Bollinger Bands),bollinger,178.60853980523154,169.18775177001953,159.76696373480752
AMAT,223.5399932861328,223.5399932861328,HOLD (Price within Bollinger Bands),bollinger,240.13410485626824,230.38400115966797,220.6338974630677
AMCR,8.710000038146973,8.710000038146973,SELL (Price above Upper Bollinger Band),bollinger,8.64208874163688,8.186000037193299,7.729911332749718
AMD,256.2550048828125,256.2550048828125,HOLD (Price within Bollinger Bands),bollinger,270.02557585910085,247.8347496032715,225.64392334744213
AME,195.68499755859375,195.68499755859375,HOLD (Price within Bollinger Bands),bollinger,204.85969102072693,192.77024993896484,180.68080885720275
AMGN,342.7149963378906,342.7149963378906,SELL (Price above Upper Bollinger Band),bollinger,341.6112659227539,306.9557510375977,272.30023615244147
AMP,465.1099853515625,465.1099853515625,HOLD (Price within Bollinger Bands),bollinger,488.0738695943495,466.16403045654295,444.2541913187364
AMT,182.95640563964844,182.95640563964844,HOLD (Price within Bollinger Bands),bollinger,195.7395180192758,184.14931945800782,172.55912089673984
AMZN,239.8800048828125,239.8800048828125,HOLD (Price within Bollinger Bands),bollinger,261.2194285385147,234.5474998474121,207.8755711563095
ANET,133.47999572753906,133.47999572753906,HOLD (Price within Bollinger Bands),bollinger,166.78078692582739,147.06549911499025,127.3502113041531
AON,352.2749938964844,352.2749938964844,HOLD (Price within Bollinger Bands),bollinger,355.3731707633369,341.36724853515625,327.3613263069756
AOS,66.62000274658203,66.62000274658203,HOLD (Price within Bollinger Bands),bollinger,70.1972807608309,67.0158073425293,63.8343339242277
APA,25.1299991607666,25.1299991607666,HOLD (Price within Bollinger Bands),bollinger,25.165569981005767,23.175582885742188,21.185595790478608
APD,263.1099853515625,263.1099853515625,HOLD (Price within Bollinger Bands),bollinger,268.2569503080108,252.62149810791016,236.9860459078095
APH,136.02999877929688,136.02999877929688,HOLD (Price within Bollinger Bands),bollinger,147.63187817796498,136.34049949645996,125.04912081495495
APO,132.5,132.5,HOLD (Price within Bollinger Bands),bollinger,135.51872758998056,127.50249938964843,119.48627118931631
APP,559.8338012695312,559.8338012695312,HOLD (Price within Bollinger Bands),bollinger,665.6021087348508,607.0781890869141,548.5542694389774
APTV,81.91000366210938,81.91000366210938,HOLD (Price within Bollinger Bands),bollinger,87.17815498230452,83.49650001525879,79.81484504821306
ARE,52.5099983215332,52.5099983215332,HOLD (Price within Bollinger Bands),bollinger,84.39809607505094,63.154500007629395,41.910903940207845
ATO,179.14999389648438,179.14999389648438,HOLD (Price within Bollinger Bands),bollinger,180.2314109621278,175.62850036621094,171.0255897702941
AVB,177.9600067138672,177.9600067138672,HOLD (Price within Bollinger Bands),bollinger,192.64035362515062,180.98899993896484,169.33764625277905
AVGO,335.2650146484375,335.2650146484375,HOLD (Price within Bollinger Bands),bollinger,381.6401997063227,356.31875,330.99730029367737
AVY,175.35000610351562,175.35000610351562,HOLD (Price within Bollinger Bands),bollinger,187.37089507517933,174.16249923706056,160.95410339894178
AWK,129.6699981689453,129.6699981689453,HOLD (Price within Bollinger Bands),bollinger,147.83307178188207,134.1519989013672,120.47092602085232
AXON,571.9000244140625,571.9000244140625,HOLD (Price within Bollinger Bands),bollinger,814.2525143048844,675.3260040283203,536.3994937517563
AXP,368.5849914550781,368.5849914550781,HOLD (Price within Bollinger Bands),bollinger,375.00303704371277,360.89575042724607,346.7884638107794
AZO,3863.090087890625,3863.090087890625,HOLD (Price within Bollinger Bands),bollinger,4047.8495212783637,3790.302490234375,3532.7554591903863
BA,193.58999633789062,193.58999633789062,HOLD (Price within Bollinger Bands),bollinger,228.8868263312594,206.70900115966796,184.5311759880765
BAC,53.595001220703125,53.595001220703125,HOLD (Price within Bollinger Bands),bollinger,54.529591016017925,52.800750160217284,51.07190930441664
BALL,47.77000045776367,47.77000045776367,HOLD (Price within Bollinger Bands),bollinger,50.55522738982053,48.28800029754639,46.02077320527225
BAX,18.799999237060547,18.799999237060547,HOLD (Price within Bollinger Bands),bollinger,25.164546819635603,20.37849998474121,15.592453149846818
BBY,76.48500061035156,76.48500061035156,HOLD (Price within Bollinger Bands),bollinger,85.39445959890429,80.7997501373291,76.2050406757539
BDX,195.1300048828125,195.1300048828125,HOLD (Price within Bollinger Bands),bollinger,195.73519916460688,184.31650085449218,172.89780254437747
BEN,22.649999618530273,22.649999618530273,HOLD (Price within Bollinger Bands),bollinger,23.379639670306965,22.770499992370606,22.161360314434248
BF-B,27.94499969482422,27.94499969482422,HOLD (Price within Bollinger Bands),bollinger,29.149591348064266,27.67125015258789,26.192908957111516
BG,97.55000305175781,97.55000305175781,HOLD (Price within Bollinger Bands),bollinger,98.20672187269393,95.82150039672851,93.43627892076309
BIIB,166.47999572753906,166.47999572753906,SELL (Price above Upper Bollinger Band),bollinger,163.7356603715306,152.25349960327148,140.77133883501236
BK,111.52999877929688,111.52999877929688,HOLD (Price within Bollinger Bands),bollinger,112.22796570124346,108.40716857910157,104.58637145695967
BKNG,5155.869140625,5155.869140625,HOLD (Price within Bollinger Bands),bollinger,5303.057537587436,5084.49541015625,4865.933282725064
BKR,48.33000183105469,48.33000183105469,HOLD (Price within Bollinger Bands),bollinger,49.60964808425542,47.45970859527588,45.309769106296336
BLDR,105.80999755859375,105.80999755859375,HOLD (Price within Bollinger Bands),bollinger,129.4020211290503,115.30899963378906,101.2159781385278
BLK,1080.5350341796875,1080.5350341796875,HOLD (Price within Bollinger Bands),bollinger,1165.5614971186094,1103.7197570800781,1041.8780170415469
BMY,49.70500183105469,49.70500183105469,HOLD (Price within Bollinger Bands),bollinger,49.70707235917057,45.52375030517578,41.340428251180995
BR,224.67999267578125,224.67999267578125,HOLD (Price within Bollinger Bands),bollinger,236.05468110517023,225.42649993896484,214.79831877275944
BRK-B,507.44000244140625,507.44000244140625,HOLD (Price within Bollinger Bands),bollinger,507.59757114755143,490.07000122070315,472.54243129385486
BRO,81.20999908447266,81.20999908447266,HOLD (Price within Bollinger Bands),bollinger,91.26036920052968,82.37941360473633,73.49845800894298
BSX,104.94999694824219,104.94999694824219,SELL (Price above Upper Bollinger Band),bollinger,104.68560999591999,100.99499969482422,97.30438939372844
BX,140.0,140.0,HOLD (Price within Bollinger Bands),bollinger,161.23179964193497,148.93120498657225,136.63061033120954
BXP,71.44999694824219,71.44999694824219,HOLD (Price within Bollinger Bands),bollinger,74.8309654409548,71.73549995422363,68.64003446749246
C,102.54000091552734,102.54000091552734,HOLD (Price within Bollinger Bands),bollinger,104.03287520265562,99.82467041015624,95.61646561765687
CAG,17.56999969482422,17.56999969482422,HOLD (Price within Bollinger Bands),bollinger,18.5708951148579,17.54917964935303,16.527464183848156
CAH,204.09500122070312,204.09500122070312,HOLD (Price within Bollinger Bands),bollinger,221.42813153077992,181.3632499694824,141.2983684081849
CARR,56.31999969482422,56.31999969482422,HOLD (Price within Bollinger Bands),bollinger,60.17816203311222,57.63443660736084,55.09071118160946
CAT,553.469970703125,553.469970703125,HOLD (Price within Bollinger Bands),bollinger,600.1132397290384,551.0725006103515,502.0317614916647
CB,296.17498779296875,296.17498779296875,HOLD (Price within Bollinger Bands),bollinger,297.5021977327532,281.34324798583987,265.18429823892654
CBOE,259.99249267578125,259.99249267578125,HOLD (Price within Bollinger Bands),bollinger,265.25099752587477,245.61912384033204,225.9872501547893
CBRE,154.83999633789062,154.83999633789062,HOLD (Price within Bollinger Bands),bollinger,165.5836103188226,155.95700073242188,146.33039114602116
CCI,92.06999969482422,92.06999969482422,HOLD (Price within Bollinger Bands),bollinger,101.16144074246027,93.71599998474122,86.27055922702216
CCL,26.700000762939453,26.700000762939453,HOLD (Price within Bollinger Bands),bollinger,30.55585636332357,28.03100004196167,25.506143720599766
CDNS,316.55999755859375,316.55999755859375,HOLD (Price within Bollinger Bands),bollinger,350.7036153553481,331.8155014038086,312.92738745226904
CDW,148.64500427246094,148.64500427246094,HOLD (Price within Bollinger Bands),bollinger,165.11177270020397,151.75375061035157,138.39572852049918
CEG,340.3999938964844,340.3999938964844,HOLD (Price within Bollinger Bands),bollinger,402.01409092511847,368.89199981689455,335.76990870867064
CF,85.0999984741211,85.0999984741211,HOLD (Price within Bollinger Bands),bollinger,87.38236842966049,84.333500289917,81.28463215017351
CFG,52.380001068115234,52.380001068115234,HOLD (Price within Bollinger Bands),bollinger,52.95610320616883,51.05293846130371,49.149773716438595
CHD,85.54000091552734,85.54000091552734,HOLD (Price within Bollinger Bands),bollinger,89.7019198141662,86.0095001220703,82.31708042997441
CHRW,152.30999755859375,152.30999755859375,HOLD (Price within Bollinger Bands),bollinger,166.21727064708307,141.0355010986328,115.85373155018253
CHTR,208.9199981689453,208.9199981689453,HOLD (Price within Bollinger Bands),bollinger,263.5721159267057,231.92649993896484,200.28088395122396
CI,272.7449951171875,272.7449951171875,HOLD (Price within Bollinger Bands),bollinger,328.09521023578475,280.49424743652344,232.8932846372621
CINF,167.49000549316406,167.49000549316406,HOLD (Price within Bollinger Bands),bollinger,168.93090386904814,158.3129997253418,147.69509558163546
CL,78.91500091552734,78.91500091552734,HOLD (Price within Bollinger Bands),bollinger,80.42123690462701,77.8467514038086,75.27226590299018
CLX,105.45999908447266,105.45999908447266,HOLD (Price within Bollinger Bands),bollinger,121.9052909219237,111.70774192810059,101.51019293427748
CMCSA,28.145000457763672,28.145000457763672,HOLD (Price within Bollinger Bands),bollinger,30.369109119690506,28.353750133514403,26.3383911473383
CME,283.539794921875,283.539794921875,SELL (Price above Upper Bollinger Band),bollinger,282.0992876325707,270.2459884643555,258.3926892961403
CMG,31.5,31.5,HOLD (Price within Bollinger Bands),bollinger,46.125929631846844,35.76149978637695,25.39706994090706
CMI,469.36749267578125,469.36749267578125,HOLD (Price within Bollinger Bands),bollinger,490.5964630684418,439.71737213134764,388.8382811942535
CMS,74.54000091552734,74.54000091552734,HOLD (Price within Bollinger Bands),bollinger,75.6573591877038,73.48184776306152,71.30633633841924
CNC,36.17499923706055,36.17499923706055,HOLD (Price within Bollinger Bands),bollinger,38.03533108336912,35.479750061035155,32.92416903870119
CNP,39.494998931884766,39.494998931884766,HOLD (Price within Bollinger Bands),bollinger,40.427990883877264,39.354750061035155,38.281509238193046
COF,220.83999633789062,220.83999633789062,HOLD (Price within Bollinger Bands),bollinger,225.72324555177562,219.6345001220703,213.545754692365
COIN,292.0,292.0,HOLD (Price within Bollinger Bands),bollinger,368.1833291409932,326.64299926757815,285.1026693941631
COO,72.04499816894531,72.04499816894531,HOLD (Price within Bollinger Bands),bollinger,75.7787598987257,71.6257495880127,67.4727392772997
COP,90.43000030517578,90.43000030517578,HOLD (Price within Bollinger Bands),bollinger,90.7567559648054,88.05600128173828,85.35524659867116
COR,364.6000061035156,364.6000061035156,HOLD (Price within Bollinger Bands),bollinger,372.9107082889017,343.75,314.5892917110983
COST,921.260009765625,921.260009765625,HOLD (Price within Bollinger Bands),bollinger,947.1555484861836,926.4259765625,905.6964046388163
CPAY,285.5799865722656,285.5799865722656,HOLD (Price within Bollinger Bands),bollinger,299.99701031226317,277.44649810791014,254.89598590355712
CPB,31.479999542236328,31.479999542236328,HOLD (Price within Bollinger Bands),bollinger,31.867869218815017,30.723999881744383,29.58013054467375
CPRT,41.63999938964844,41.63999938964844,HOLD (Price within Bollinger Bands),bollinger,46.25177177152182,42.963999366760255,39.676226961998694
CPT,102.58999633789062,102.58999633789062,HOLD (Price within Bollinger Bands),bollinger,106.17499929430159,102.04900016784669,97.92300104139179
CRL,172.5500030517578,172.5500030517578,HOLD (Price within Bollinger Bands),bollinger,197.80007210323444,179.91650009155273,162.03292807987103
