Ticker,Last Close Price,Current Price,Signal,Method,RSI
A,151.1699981689453,151.1699981689453,HOLD (RSI=69.34),rsi,69.34304002044665
AAPL,274.0299987792969,274.0299987792969,SELL (RSI=78.51 > 70.0),rsi,78.5051767087031
ABBV,238.22000122070312,238.22000122070312,HOLD (RSI=59.68),rsi,59.676055575848586
ABNB,122.0199966430664,122.0199966430664,HOLD (RSI=48.10),rsi,48.099602665252554
ABT,128.89999389648438,128.89999389648438,HOLD (RSI=53.26),rsi,53.25807536314032
ACGL,92.83760070800781,92.83760070800781,SELL (RSI=73.25 > 70.0),rsi,73.25376151114504
ACN,246.24000549316406,246.24000549316406,HOLD (RSI=59.43),rsi,59.42609849328374
ADBE,337.31500244140625,337.31500244140625,HOLD (RSI=54.63),rsi,54.62607620019481
ADI,237.5500030517578,237.5500030517578,HOLD (RSI=47.14),rsi,47.1432608372622
ADM,58.82500076293945,58.82500076293945,HOLD (RSI=36.93),rsi,36.92652550609923
ADP,254.44000244140625,254.44000244140625,BUY (RSI=21.20 < 30.0),rsi,21.204658406102425
ADSK,299.19000244140625,299.19000244140625,HOLD (RSI=49.48),rsi,49.47682775762761
AEE,104.6050033569336,104.6050033569336,HOLD (RSI=47.94),rsi,47.94009339171527
AEP,122.70339965820312,122.70339965820312,HOLD (RSI=66.69),rsi,66.68576337960839
AES,13.835000038146973,13.835000038146973,HOLD (RSI=38.19),rsi,38.18870339901846
AFL,114.48999786376953,114.48999786376953,SELL (RSI=73.75 > 70.0),rsi,73.74539854957428
AIG,78.34500122070312,78.34500122070312,HOLD (RSI=54.54),rsi,54.54235399660509
AIZ,228.10000610351562,228.10000610351562,SELL (RSI=78.38 > 70.0),rsi,78.38065724901003
AJG,256.31500244140625,256.31500244140625,HOLD (RSI=33.46),rsi,33.46273068538778
AKAM,90.27999877929688,90.27999877929688,SELL (RSI=75.99 > 70.0),rsi,75.99040784078646
ALB,117.30500030517578,117.30500030517578,HOLD (RSI=64.36),rsi,64.3635392342074
ALGN,141.15499877929688,141.15499877929688,HOLD (RSI=63.44),rsi,63.43665561109114
ALL,210.23309326171875,210.23309326171875,SELL (RSI=74.38 > 70.0),rsi,74.37536580733436
ALLE,166.77999877929688,166.77999877929688,HOLD (RSI=33.63),rsi,33.62859739472887
AMAT,223.2899932861328,223.2899932861328,HOLD (RSI=47.65),rsi,47.65185632959889
AMCR,8.710000038146973,8.710000038146973,HOLD (RSI=64.62),rsi,64.61539251565372
AMD,255.49000549316406,255.49000549316406,HOLD (RSI=56.91),rsi,56.9144411697662
AME,195.65609741210938,195.65609741210938,HOLD (RSI=62.62),rsi,62.615943670538435
AMGN,342.8266906738281,342.8266906738281,SELL (RSI=76.37 > 70.0),rsi,76.3733677162424
AMP,465.0400085449219,465.0400085449219,HOLD (RSI=49.42),rsi,49.42130406560307
AMT,182.99000549316406,182.99000549316406,HOLD (RSI=38.33),rsi,38.33242567221159
AMZN,239.83999633789062,239.83999633789062,HOLD (RSI=63.57),rsi,63.5711920951435
ANET,133.19500732421875,133.19500732421875,HOLD (RSI=39.03),rsi,39.0310690359459
AON,352.4595947265625,352.4595947265625,HOLD (RSI=57.37),rsi,57.36566163396195
AOS,66.62000274658203,66.62000274658203,HOLD (RSI=41.73),rsi,41.732458982124214
APA,25.135099411010742,25.135099411010742,HOLD (RSI=60.65),rsi,60.6509677040926
APD,263.0400085449219,263.0400085449219,HOLD (RSI=58.77),rsi,58.76912571198104
APH,136.06500244140625,136.06500244140625,HOLD (RSI=58.77),rsi,58.76901931151429
APO,132.60000610351562,132.60000610351562,HOLD (RSI=64.52),rsi,64.51853057484567
APP,560.9600219726562,560.9600219726562,HOLD (RSI=43.72),rsi,43.71839875117626
APTV,81.95999908447266,81.95999908447266,HOLD (RSI=46.80),rsi,46.80317750191931
ARE,52.529998779296875,52.529998779296875,BUY (RSI=22.25 < 30.0),rsi,22.249389368767538
ATO,179.10000610351562,179.10000610351562,HOLD (RSI=55.72),rsi,55.72327736113902
AVB,178.0500030517578,178.0500030517578,HOLD (RSI=40.29),rsi,40.290818288723386
AVGO,334.92999267578125,334.92999267578125,HOLD (RSI=43.55),rsi,43.55466643251456
AVY,175.25010681152344,175.25010681152344,HOLD (RSI=67.06),rsi,67.0598991542082
AWK,129.6999969482422,129.6999969482422,HOLD (RSI=31.36),rsi,31.35519123841901
AXON,571.4199829101562,571.4199829101562,HOLD (RSI=38.19),rsi,38.185804119494996
AXP,368.7049865722656,368.7049865722656,SELL (RSI=82.20 > 70.0),rsi,82.20416487901844
AZO,3863.010009765625,3863.010009765625,HOLD (RSI=41.80),rsi,41.803557154828546
BA,193.6300048828125,193.6300048828125,HOLD (RSI=32.84),rsi,32.83835004295119
BAC,53.60499954223633,53.60499954223633,HOLD (RSI=66.95),rsi,66.9523226524611
BALL,47.81610107421875,47.81610107421875,HOLD (RSI=49.08),rsi,49.08143013987225
BAX,18.850000381469727,18.850000381469727,BUY (RSI=22.89 < 30.0),rsi,22.89473842715985
BBY,76.54730224609375,76.54730224609375,HOLD (RSI=45.03),rsi,45.03134479579751
BDX,195.25,195.25,HOLD (RSI=61.06),rsi,61.064306548326925
BEN,22.665000915527344,22.665000915527344,HOLD (RSI=55.10),rsi,55.10389461362107
BF-B,27.950000762939453,27.950000762939453,HOLD (RSI=48.00),rsi,48.004836870923675
BG,97.625,97.625,HOLD (RSI=56.51),rsi,56.50694887888651
